Confirmed,Deaths,Recovered
2,0,2
2,0,2
2,0,0
2,0,0
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
0,0,0
64287,2495,16748
1345,6,786
1271,19,943
1205,1,782
1016,4,731
989,6,663
934,1,645
833,8,18
755,5,343
691,3,0
631,0,452
576,6,349
527,3,276
480,12,227
399,4,198
335,3,261
311,6,234
293,1,183
251,2,112
245,1,173
229,7,1
174,2,124
168,5,116
159,1,22
146,2,102
135,3,87
133,0,94
121,1,80
93,1,60
91,2,80
89,0,51
79,2,19
76,2,30
75,0,34
71,0,58
61,12,0
36,0,0
35,0,21
30,1,5
22,0,18
18,0,18
16,0,14
16,0,14
13,0,8
13,0,4
12,1,4
10,0,6
7,0,0
6,0,0
5,0,1
4,0,4
4,0,4
3,0,2
3,0,3
3,1,1
2,0,2
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,1
2,0,1
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
0,0,0
0,0,0
0,0,0
64786,2563,18971
1347,7,822
1271,19,1002
1205,1,808
1016,4,768
989,6,712
977,10,22
934,1,683
756,6,355
691,3,0
631,0,458
576,6,372
